Suburb,Year,pop_est,incidents_recorded,Number of Records,incidents_per_1000_people
CLARENDON,2019,106,5,4,47.16981132
CLARENDON,2020,93,2,2,21.50537634
CLARINDA,2011,7461,167,30,22.38305857
CLARINDA,2012,7465,173,29,23.17481581
CLARINDA,2013,7469,237,34,31.73115544
CLARINDA,2014,7473,214,36,28.63642446
CLARINDA,2015,7477,245,35,32.7671526
CLARINDA,2016,7481,208,34,27.80376955
CLARINDA,2017,7485,254,39,33.93453574
CLARINDA,2018,7489,172,29,22.96701829
CLARINDA,2019,7493,209,37,27.89269985
CLARINDA,2020,7497,196,32,26.14379085
CLARKEFIELD,2011,433,11,9,25.40415704
CLARKEFIELD,2012,410,14,6,34.14634146
CLARKEFIELD,2013,387,17,9,43.92764858
CLARKEFIELD,2014,365,18,8,49.31506849
CLARKEFIELD,2015,342,21,12,61.40350877
CLARKEFIELD,2016,320,14,9,43.75
CLARKEFIELD,2017,298,30,15,100.6711409
CLARKEFIELD,2018,276,24,15,86.95652174
CLARKEFIELD,2019,254,21,13,82.67716535
CLARKEFIELD,2020,232,27,14,116.3793103
CLAYTON,2011,15543,1081,59,69.54899312
CLAYTON,2012,16306,1038,57,63.65754937
CLAYTON,2013,17069,1101,62,64.50289999
CLAYTON,2014,17832,1022,61,57.31269628
CLAYTON,2015,18595,1061,73,57.05834902
CLAYTON,2016,19358,1224,71,63.22967249
CLAYTON,2017,20121,1202,68,59.73858158
CLAYTON,2018,20884,1227,72,58.75311243
CLAYTON,2019,21647,1341,72,61.9485379
CLAYTON,2020,22410,1519,69,67.78224007
CLAYTON SOUTH,2011,11625,448,43,38.53763441
CLAYTON SOUTH,2012,11828,502,40,42.44166385
CLAYTON SOUTH,2013,12031,509,48,42.30737262
CLAYTON SOUTH,2014,12235,566,54,46.26072742
CLAYTON SOUTH,2015,12438,520,44,41.80736453
CLAYTON SOUTH,2016,12642,537,40,42.4774561
CLAYTON SOUTH,2017,12846,534,47,41.56936011
CLAYTON SOUTH,2018,13050,665,47,50.95785441
CLAYTON SOUTH,2019,13254,588,44,44.3639656
CLAYTON SOUTH,2020,13458,618,46,45.920642
CLEMATIS,2011,366,9,4,24.59016393
CLEMATIS,2012,362,12,9,33.14917127
CLEMATIS,2013,359,14,8,38.99721448
CLEMATIS,2014,356,9,7,25.28089888
CLEMATIS,2015,353,9,6,25.49575071
CLEMATIS,2016,350,11,7,31.42857143
CLEMATIS,2017,347,2,2,5.763688761
CLEMATIS,2018,344,7,5,20.34883721
CLEMATIS,2019,341,5,3,14.6627566
CLEMATIS,2020,338,4,3,11.83431953
CLIFTON CREEK,2011,207,1,1,4.830917874
CLIFTON CREEK,2012,,1,1,0
CLIFTON CREEK,2013,,3,2,0
CLIFTON CREEK,2014,,2,2,0
CLIFTON CREEK,2015,,1,1,0
CLIFTON CREEK,2016,237,2,2,8.438818565
CLIFTON CREEK,2018,,3,3,0
CLIFTON CREEK,2019,,8,5,0
CLIFTON CREEK,2020,,15,7,0
CLIFTON HILL,2011,5790,387,51,66.83937824
CLIFTON HILL,2012,5900,453,54,76.77966102
CLIFTON HILL,2013,6010,462,49,76.8718802
CLIFTON HILL,2014,6120,557,53,91.0130719
CLIFTON HILL,2015,6230,490,57,78.65168539
CLIFTON HILL,2016,6341,585,52,92.25674184
CLIFTON HILL,2017,6452,543,59,84.1599504
CLIFTON HILL,2018,6563,637,62,97.05927167
CLIFTON HILL,2019,6674,476,53,71.3215463
CLIFTON HILL,2020,6785,427,53,62.93294031
CLIFTON SPRINGS,2011,7153,105,21,14.6791556
CLIFTON SPRINGS,2012,7226,141,26,19.51287019
CLIFTON SPRINGS,2013,7299,123,22,16.85162351
CLIFTON SPRINGS,2014,7372,107,29,14.51437873
CLIFTON SPRINGS,2015,7445,145,23,19.4761585
CLIFTON SPRINGS,2016,7519,185,28,24.60433568
CLIFTON SPRINGS,2017,7593,107,21,14.09192677
CLIFTON SPRINGS,2018,7667,127,32,16.5644972
CLIFTON SPRINGS,2019,7741,148,28,19.11897688
CLIFTON SPRINGS,2020,7815,144,29,18.42610365
CLONBINANE,2011,381,8,5,20.99737533
CLONBINANE,2012,370,12,8,32.43243243
CLONBINANE,2013,360,9,5,25
CLONBINANE,2014,350,17,11,48.57142857
CLONBINANE,2015,340,11,10,32.35294118
CLONBINANE,2016,330,30,17,90.90909091
CLONBINANE,2017,320,26,14,81.25
CLONBINANE,2018,310,29,14,93.5483871
CLONBINANE,2019,300,30,17,100
CLONBINANE,2020,290,31,13,106.8965517
CLOVERLEA,2011,372,3,3,8.064516129
CLOVERLEA,2012,,1,1,0
CLOVERLEA,2014,,4,4,0
CLOVERLEA,2015,,2,2,0
CLOVERLEA,2016,192,3,3,15.625
CLOVERLEA,2017,,1,1,0
CLOVERLEA,2018,,6,4,0
CLOVERLEA,2019,,4,4,0
CLOVERLEA,2020,,10,8,0
CLUNES,2011,1656,59,19,35.62801932
CLUNES,2012,1670,46,23,27.54491018
CLUNES,2013,1684,44,16,26.12826603
CLUNES,2014,1699,40,15,23.54326074
CLUNES,2015,1713,70,24,40.86398132
CLUNES,2016,1728,104,27,60.18518519
CLUNES,2017,1743,53,16,30.40734366
CLUNES,2018,1758,75,21,42.66211604
CLUNES,2019,1773,53,16,29.892837
CLUNES,2020,1788,60,21,33.55704698
CLYDE,2011,769,39,16,50.71521456
CLYDE,2012,1038,41,13,39.49903661
CLYDE,2013,1308,43,13,32.87461774
CLYDE,2014,1577,52,18,32.97400127
CLYDE,2015,1847,98,22,53.05901462
CLYDE,2016,2117,145,27,68.49315068
CLYDE,2017,2387,144,31,60.32677
CLYDE,2018,2657,161,29,60.59465563
CLYDE,2019,2927,271,35,92.5862658
CLYDE,2020,3197,379,33,118.5486393
CLYDE NORTH,2011,4011,22,7,5.48491648
CLYDE NORTH,2012,4623,100,15,21.63097556
CLYDE NORTH,2013,5328,125,19,23.46096096
CLYDE NORTH,2014,6141,200,21,32.56798567
CLYDE NORTH,2015,7077,264,23,37.30394235
CLYDE NORTH,2016,8156,433,38,53.08974988
CLYDE NORTH,2017,9398,501,39,53.30921473
CLYDE NORTH,2018,10830,630,40,58.17174515
CLYDE NORTH,2019,12480,705,42,56.49038462
CLYDE NORTH,2020,14381,911,50,63.34747236
COBAINS,2011,491,1,1,2.036659878
COBAINS,2012,439,7,6,15.9453303
COBAINS,2013,387,10,8,25.83979328
COBAINS,2014,335,11,10,32.8358209
COBAINS,2015,283,18,14,63.60424028
COBAINS,2016,232,7,5,30.17241379
COBAINS,2017,181,10,8,55.24861878
COBAINS,2018,130,2,2,15.38461538
COBAINS,2019,79,3,3,37.97468354
COBAINS,2020,28,2,2,71.42857143
COBDEN,2011,1821,64,19,35.14552444
COBDEN,2012,1824,53,13,29.05701754
COBDEN,2013,1828,47,18,25.71115974
COBDEN,2014,1831,45,16,24.57673403
COBDEN,2015,1835,42,24,22.88828338
COBDEN,2016,1839,54,20,29.36378467
COBDEN,2017,1843,81,28,43.95008139
COBDEN,2018,1847,45,22,24.36383324
COBDEN,2019,1851,50,23,27.01242572
COBDEN,2020,1855,55,20,29.64959569
COBRAM,2011,6018,383,45,63.64240611
COBRAM,2012,6017,378,41,62.82200432
COBRAM,2013,6016,291,42,48.37101064
COBRAM,2014,6015,372,43,61.84538653
COBRAM,2015,6014,319,47,53.0428999
COBRAM,2016,6014,344,40,57.19986698
COBRAM,2017,6014,487,49,80.97771866
COBRAM,2018,6014,473,43,78.64981709
COBRAM,2019,6014,678,49,112.7369471
COBRAM,2020,6014,555,50,92.28466911
COBRAM EAST,2011,225,3,3,13.33333333
COBRAM EAST,2012,228,4,3,17.54385965
COBRAM EAST,2013,231,4,3,17.31601732
COBRAM EAST,2014,235,4,4,17.0212766
COBRAM EAST,2015,238,9,8,37.81512605
COBRAM EAST,2016,242,7,6,28.92561983
COBRAM EAST,2017,246,6,6,24.3902439
COBRAM EAST,2018,250,9,7,36
COBRAM EAST,2019,254,28,13,110.2362205
COBRAM EAST,2020,258,11,6,42.63565891
COBRICO,2011,353,1,1,2.83286119
COBRICO,2012,,3,3,0
COBRICO,2013,,2,2,0
COBRICO,2014,,1,1,0
COBRICO,2016,80,2,2,25
COBRICO,2017,,3,2,0
COBRICO,2019,,2,2,0
COBRICO,2020,,1,1,0
COBURG,2011,24977,1702,56,68.14269128
COBURG,2012,25218,1938,54,76.84986914
COBURG,2013,25460,1713,56,67.282011
COBURG,2014,25701,1880,63,73.14890471
COBURG,2015,25943,1901,59,73.27602822
COBURG,2016,26185,2314,59,88.37120489
COBURG,2017,26427,2056,57,77.79922049
COBURG,2018,26669,2147,56,80.50545577
COBURG,2019,26911,2050,62,76.17702798
COBURG,2020,27153,1995,55,73.47254447
COBURG NORTH,2011,6576,547,40,83.18126521
COBURG NORTH,2012,6781,694,44,102.3447869
COBURG NORTH,2013,6986,619,46,88.60578299
COBURG NORTH,2014,7191,693,40,96.37046308
COBURG NORTH,2015,7396,843,42,113.98053
COBURG NORTH,2016,7601,964,48,126.8254177
COBURG NORTH,2017,7806,907,47,116.1926723
COBURG NORTH,2018,8011,900,49,112.3455249
COBURG NORTH,2019,8216,782,48,95.18013632
COBURG NORTH,2020,8421,742,45,88.11305071
COCKATOO,2011,4400,140,27,31.81818182
COCKATOO,2012,4371,111,29,25.39464653
COCKATOO,2013,4342,181,33,41.68585905
COCKATOO,2014,4313,168,31,38.95200556
COCKATOO,2015,4284,140,37,32.67973856
COCKATOO,2016,4256,136,33,31.95488722
COCKATOO,2017,4228,110,28,26.01702933
COCKATOO,2018,4200,97,26,23.0952381
COCKATOO,2019,4172,116,32,27.80441035
COCKATOO,2020,4144,165,32,39.81660232
COCOROC,2013,,2,2,0
COCOROC,2015,,2,2,0
COCOROC,2016,0,2,2,0
COCOROC,2017,,2,2,0
COCOROC,2018,,4,3,0
COCOROC,2019,,11,7,0
COCOROC,2020,,5,3,0
COHUNA,2011,2313,99,31,42.80155642
COHUNA,2012,2336,67,23,28.68150685
COHUNA,2013,2359,63,22,26.70623145
COHUNA,2014,2382,89,31,37.36356003
COHUNA,2015,2405,76,30,31.6008316
COHUNA,2016,2428,68,25,28.00658979
COHUNA,2017,2451,94,28,38.35169319
COHUNA,2018,2474,86,24,34.76151981
COHUNA,2019,2497,120,30,48.0576692
COHUNA,2020,2520,120,32,47.61904762
COIMADAI,2011,404,17,13,42.07920792
COIMADAI,2012,406,13,8,32.01970443
COIMADAI,2013,408,10,6,24.50980392
COIMADAI,2014,411,13,10,31.63017032
COIMADAI,2015,413,21,10,50.84745763
COIMADAI,2016,416,18,13,43.26923077
COIMADAI,2017,419,15,12,35.79952267
COIMADAI,2018,422,19,8,45.02369668
COIMADAI,2019,425,11,8,25.88235294
COIMADAI,2020,428,16,9,37.38317757
COLAC,2011,8696,742,54,85.32658694
COLAC,2012,8766,831,59,94.7980835
COLAC,2013,8836,700,55,79.22136713
COLAC,2014,8907,760,51,85.32614797
COLAC,2015,8977,723,55,80.53915562
COLAC,2016,9048,913,56,100.9062776
COLAC,2017,9119,1077,53,118.1050554
COLAC,2018,9190,793,51,86.28944505
COLAC,2019,9261,916,51,98.90940503
COLAC,2020,9332,863,52,92.47749679
COLAC EAST,2011,304,3,3,9.868421053
COLAC EAST,2012,286,9,6,31.46853147
COLAC EAST,2013,269,7,6,26.02230483
COLAC EAST,2014,251,8,5,31.87250996
COLAC EAST,2015,234,28,15,119.6581197
COLAC EAST,2016,217,18,9,82.94930876
COLAC EAST,2017,200,13,8,65
COLAC EAST,2018,183,14,7,76.50273224
COLAC EAST,2019,166,27,16,162.6506024
COLAC EAST,2020,149,11,9,73.82550336
COLAC WEST,2011,134,6,5,44.7761194
COLAC WEST,2012,123,7,5,56.91056911
COLAC WEST,2013,112,9,5,80.35714286
COLAC WEST,2014,102,5,4,49.01960784
COLAC WEST,2015,91,10,7,109.8901099
COLAC WEST,2016,81,15,9,185.1851852
COLAC WEST,2017,71,13,8,183.0985915
COLAC WEST,2018,61,17,12,278.6885246
COLAC WEST,2019,51,12,11,235.2941176
COLAC WEST,2020,41,33,15,804.8780488
COLBINABBIN,2011,297,11,6,37.03703704
COLBINABBIN,2012,298,14,5,46.97986577
COLBINABBIN,2013,299,7,3,23.41137124
COLBINABBIN,2014,301,7,4,23.25581395
COLBINABBIN,2015,302,7,5,23.17880795
COLBINABBIN,2016,304,6,3,19.73684211
COLBINABBIN,2017,306,2,2,6.535947712
COLBINABBIN,2018,308,6,3,19.48051948
COLBINABBIN,2019,310,9,5,29.03225806
COLBINABBIN,2020,312,10,6,32.05128205
COLDSTREAM,2011,2338,48,17,20.53036784
COLDSTREAM,2012,2303,70,21,30.39513678
COLDSTREAM,2013,2268,55,22,24.25044092
COLDSTREAM,2014,2233,62,22,27.76533811
COLDSTREAM,2015,2198,66,26,30.02729754
COLDSTREAM,2016,2164,65,23,30.03696858
COLDSTREAM,2017,2130,71,30,33.33333333
COLDSTREAM,2018,2096,84,30,40.07633588
COLDSTREAM,2019,2062,94,27,45.58680892
COLDSTREAM,2020,2028,107,28,52.76134122
COLERAINE,2011,1243,45,18,36.20273532
COLERAINE,2012,1200,32,15,26.66666667
COLERAINE,2013,1157,50,25,43.21521175
COLERAINE,2014,1114,42,26,37.70197487
COLERAINE,2015,1071,59,31,55.08870215
COLERAINE,2016,1029,54,22,52.47813411
COLERAINE,2017,987,49,25,49.64539007
COLERAINE,2018,945,46,20,48.67724868
COLERAINE,2019,903,31,16,34.33001107
COLERAINE,2020,861,39,17,45.29616725
COLIGNAN,2011,259,6,5,23.16602317
COLIGNAN,2012,273,6,4,21.97802198
COLIGNAN,2013,287,15,13,52.26480836
COLIGNAN,2014,301,11,8,36.5448505
COLIGNAN,2015,315,7,6,22.22222222
COLIGNAN,2016,329,14,7,42.55319149
COLIGNAN,2017,343,13,7,37.90087464
COLIGNAN,2018,357,20,8,56.02240896
COLIGNAN,2019,371,4,4,10.78167116
COLIGNAN,2020,385,15,8,38.96103896
COLLINGWOOD,2011,6467,1147,47,177.3619916
COLLINGWOOD,2012,6876,1282,47,186.4456079
COLLINGWOOD,2013,7285,1190,48,163.349348
COLLINGWOOD,2014,7694,1429,56,185.7291396
COLLINGWOOD,2015,8103,1502,53,185.3634456
COLLINGWOOD,2016,8513,1764,55,207.2124985
COLLINGWOOD,2017,8923,1589,55,178.0791214
COLLINGWOOD,2018,9333,1966,53,210.6503804
COLLINGWOOD,2019,9743,1956,53,200.7595197
COLLINGWOOD,2020,10153,2083,50,205.1610361
CONCONGELLA,2011,341,2,2,5.865102639
CONCONGELLA,2012,,2,2,0
CONCONGELLA,2013,,3,3,0
CONCONGELLA,2014,,5,5,0
CONCONGELLA,2015,,23,9,0
CONCONGELLA,2016,133,2,2,15.03759398
CONCONGELLA,2017,,4,3,0
CONCONGELLA,2018,,12,7,0
CONCONGELLA,2019,,3,3,0
CONCONGELLA,2020,,8,2,0
CONDAH,2011,418,1,1,2.392344498
CONDAH,2012,358,3,2,8.379888268
CONDAH,2013,299,3,3,10.03344482
CONDAH,2014,239,5,5,20.92050209
CONDAH,2015,180,4,3,22.22222222
CONDAH,2016,121,2,2,16.52892562
CONDAH,2017,62,2,2,32.25806452
CONDAH,2018,3,1,1,333.3333333
CONDAH,2019,-56,1,1,-17.85714286
CONDAH,2020,-115,1,1,-8.695652174
CONGUPNA,2011,628,9,6,14.33121019
CONGUPNA,2012,623,10,5,16.05136437
CONGUPNA,2013,618,17,12,27.50809061
CONGUPNA,2014,614,12,7,19.54397394
CONGUPNA,2015,609,16,8,26.272578
CONGUPNA,2016,605,28,11,46.28099174
CONGUPNA,2017,601,29,14,48.25291181
CONGUPNA,2018,597,30,13,50.25125628
CONGUPNA,2019,593,19,12,32.04047218
CONGUPNA,2020,589,34,17,57.72495756
CONNEWARRE,2011,350,10,8,28.57142857
CONNEWARRE,2012,437,28,16,64.07322654
CONNEWARRE,2013,525,28,15,53.33333333
CONNEWARRE,2014,612,17,13,27.77777778
CONNEWARRE,2015,700,20,13,28.57142857
CONNEWARRE,2016,788,14,10,17.76649746
CONNEWARRE,2017,876,15,12,17.12328767
CONNEWARRE,2018,964,19,14,19.70954357
CONNEWARRE,2019,1052,20,15,19.01140684
CONNEWARRE,2020,1140,18,11,15.78947368
COOLAROO,2011,3261,313,39,95.98282735
COOLAROO,2012,3247,350,37,107.7918078
COOLAROO,2013,3233,362,43,111.9703062
COOLAROO,2014,3219,410,38,127.3687481
COOLAROO,2015,3205,359,39,112.0124805
COOLAROO,2016,3191,508,47,159.1977437
COOLAROO,2017,3177,490,42,154.2335537
COOLAROO,2018,3163,447,44,141.3215302
COOLAROO,2019,3149,418,44,132.7405526
COOLAROO,2020,3135,478,51,152.4720893
COONGULLA,2011,297,9,5,30.3030303
COONGULLA,2012,274,22,8,80.2919708
COONGULLA,2013,251,12,8,47.80876494
COONGULLA,2014,228,8,6,35.0877193
COONGULLA,2015,205,22,8,107.3170732
COONGULLA,2016,183,8,4,43.71584699
COONGULLA,2017,161,15,6,93.16770186
COONGULLA,2018,139,10,5,71.94244604
COONGULLA,2019,117,13,11,111.1111111
COONGULLA,2020,95,21,8,221.0526316
COORIEMUNGLE,2011,467,3,2,6.423982869
COORIEMUNGLE,2012,446,10,6,22.42152466
COORIEMUNGLE,2013,425,2,2,4.705882353
COORIEMUNGLE,2014,405,2,2,4.938271605
COORIEMUNGLE,2015,384,2,2,5.208333333
COORIEMUNGLE,2016,364,2,2,5.494505495
COORIEMUNGLE,2017,344,8,6,23.25581395
COORIEMUNGLE,2018,324,6,4,18.51851852
COORIEMUNGLE,2019,304,2,2,6.578947368
COORIEMUNGLE,2020,284,3,2,10.56338028
CORA LYNN,2011,236,2,2,8.474576271
CORA LYNN,2012,237,7,5,29.53586498
CORA LYNN,2013,238,1,1,4.201680672
CORA LYNN,2014,240,5,5,20.83333333
CORA LYNN,2015,241,4,4,16.59751037
CORA LYNN,2016,243,11,8,45.26748971
CORA LYNN,2017,245,9,7,36.73469388
CORA LYNN,2018,247,4,3,16.19433198
CORA LYNN,2019,249,9,7,36.14457831
CORA LYNN,2020,251,3,2,11.95219124
CORAGULAC,2012,,2,2,0
CORAGULAC,2013,,3,2,0
CORAGULAC,2014,,1,1,0
CORAGULAC,2015,,2,2,0
CORAGULAC,2016,161,2,2,12.42236025
CORAGULAC,2017,,3,3,0
CORAGULAC,2018,,4,4,0
CORAGULAC,2019,,2,2,0
CORAGULAC,2020,,7,4,0
CORINELLA,2011,630,7,6,11.11111111
CORINELLA,2012,662,25,14,37.76435045
CORINELLA,2013,694,15,10,21.61383285
CORINELLA,2014,726,34,12,46.83195592
CORINELLA,2015,758,26,16,34.30079156
CORINELLA,2016,791,30,13,37.92667509
CORINELLA,2017,824,35,15,42.47572816
CORINELLA,2018,857,31,15,36.17269545
CORINELLA,2019,890,28,14,31.46067416
CORINELLA,2020,923,57,22,61.75514626
CORIO,2011,15072,1339,54,88.84023355
CORIO,2012,15116,1502,52,99.36491135
CORIO,2013,15161,1640,51,108.1722842
CORIO,2014,15206,1708,57,112.3240826
CORIO,2015,15251,1675,52,109.8288637
CORIO,2016,15296,2216,56,144.874477
CORIO,2017,15341,2301,56,149.9902223
CORIO,2018,15386,1921,58,124.8537632
CORIO,2019,15431,1682,54,109.0013609
CORIO,2020,15476,1737,53,112.2383045
CORONET BAY,2011,710,25,11,35.21126761
CORONET BAY,2012,726,36,12,49.58677686
CORONET BAY,2013,742,26,14,35.04043127
CORONET BAY,2014,758,42,20,55.40897098
CORONET BAY,2015,774,49,17,63.30749354
CORONET BAY,2016,791,58,17,73.32490518
CORONET BAY,2017,808,33,16,40.84158416
CORONET BAY,2018,825,39,12,47.27272727
CORONET BAY,2019,842,43,18,51.06888361
CORONET BAY,2020,859,42,22,48.89406286
COROP,2011,269,4,3,14.86988848
COROP,2012,241,9,5,37.34439834
COROP,2013,213,10,8,46.94835681
COROP,2014,185,12,7,64.86486486
COROP,2015,157,11,4,70.06369427
COROP,2016,129,15,9,116.2790698
COROP,2017,101,10,8,99.00990099
COROP,2018,73,9,5,123.2876712
COROP,2019,45,6,5,133.3333333
COROP,2020,17,8,6,470.5882353
COROROOKE,2011,383,2,2,5.221932115
COROROOKE,2012,368,6,5,16.30434783
COROROOKE,2013,353,8,8,22.66288952
COROROOKE,2014,339,6,4,17.69911504
COROROOKE,2015,324,3,3,9.259259259
COROROOKE,2016,310,11,8,35.48387097
COROROOKE,2017,296,22,11,74.32432432
COROROOKE,2018,282,8,6,28.36879433
COROROOKE,2019,268,4,3,14.92537313
COROROOKE,2020,254,16,4,62.99212598
CORRYONG,2011,1440,71,31,49.30555556
CORRYONG,2012,1421,76,22,53.48346235
CORRYONG,2013,1403,84,28,59.87170349
CORRYONG,2014,1384,61,22,44.07514451
CORRYONG,2015,1366,34,17,24.89019034
CORRYONG,2016,1348,46,25,34.12462908
CORRYONG,2017,1330,34,17,25.56390977
CORRYONG,2018,1312,48,18,36.58536585
CORRYONG,2019,1294,47,21,36.32148377
CORRYONG,2020,1276,51,22,39.96865204
COTTLES BRIDGE,2011,626,10,9,15.97444089
COTTLES BRIDGE,2012,621,8,8,12.88244767
COTTLES BRIDGE,2013,616,8,7,12.98701299
COTTLES BRIDGE,2014,611,6,5,9.819967267
COTTLES BRIDGE,2015,606,5,4,8.250825083
COTTLES BRIDGE,2016,601,16,9,26.62229617
COTTLES BRIDGE,2017,596,15,8,25.16778523
COTTLES BRIDGE,2018,591,5,3,8.460236887
COTTLES BRIDGE,2019,586,13,7,22.18430034
COTTLES BRIDGE,2020,581,12,8,20.65404475
COWES,2011,4053,361,39,89.06982482
COWES,2012,4210,293,41,69.59619952
COWES,2013,4367,349,42,79.91756354
COWES,2014,4524,458,43,101.2378426
COWES,2015,4681,375,47,80.11108737
COWES,2016,4839,357,42,73.77557347
COWES,2017,4997,359,44,71.84310586
COWES,2018,5155,250,34,48.49660524
COWES,2019,5313,361,46,67.94654621
COWES,2020,5471,369,40,67.44653628
COWWARR,2011,376,10,5,26.59574468
COWWARR,2012,374,9,7,24.06417112
COWWARR,2013,372,10,6,26.88172043
COWWARR,2014,371,8,3,21.56334232
COWWARR,2015,369,4,3,10.8401084
COWWARR,2016,368,12,8,32.60869565
COWWARR,2017,367,10,9,27.2479564
COWWARR,2018,366,9,6,24.59016393
COWWARR,2019,365,12,8,32.87671233
COWWARR,2020,364,23,15,63.18681319
CRAIGIEBURN,2011,32757,1576,51,48.11185395
CRAIGIEBURN,2012,36275,1807,51,49.81392143
CRAIGIEBURN,2013,39793,1677,57,42.14309049
CRAIGIEBURN,2014,43311,2180,61,50.33363349
CRAIGIEBURN,2015,46829,2645,62,56.48209443
CRAIGIEBURN,2016,50347,3391,63,67.35257314
CRAIGIEBURN,2017,53865,2650,63,49.19706674
CRAIGIEBURN,2018,57383,2750,61,47.92360107
CRAIGIEBURN,2019,60901,2958,65,48.57063102
CRAIGIEBURN,2020,64419,3224,63,50.04734628
CRANBOURNE,2011,18622,1572,57,84.41628182
CRANBOURNE,2012,18916,1521,53,80.40812011
CRANBOURNE,2013,19210,1704,57,88.7038001
CRANBOURNE,2014,19505,1675,54,85.87541656
CRANBOURNE,2015,19799,2059,61,103.9951513
CRANBOURNE,2016,20094,2486,61,123.7185229
CRANBOURNE,2017,20389,2172,59,106.5280298
CRANBOURNE,2018,20684,2002,57,96.78978921
CRANBOURNE,2019,20979,2251,62,107.297774
CRANBOURNE,2020,21274,2583,61,121.4158127
CRANBOURNE EAST,2011,8211,268,30,32.63914261
CRANBOURNE EAST,2012,9807,256,32,26.10380341
CRANBOURNE EAST,2013,11404,379,30,33.233953
CRANBOURNE EAST,2014,13001,427,34,32.84362741
CRANBOURNE EAST,2015,14598,461,38,31.57966845
CRANBOURNE EAST,2016,16195,656,44,40.50632911
CRANBOURNE EAST,2017,17792,624,44,35.07194245
CRANBOURNE EAST,2018,19389,651,44,33.57573882
CRANBOURNE EAST,2019,20986,760,48,36.21461927
CRANBOURNE EAST,2020,22583,815,46,36.08909357
CRANBOURNE NORTH,2011,14570,709,40,48.66163349
CRANBOURNE NORTH,2012,15678,703,40,44.83990305
CRANBOURNE NORTH,2013,16786,667,43,39.73549386
CRANBOURNE NORTH,2014,17894,803,45,44.87537722
CRANBOURNE NORTH,2015,19002,796,44,41.89032733
CRANBOURNE NORTH,2016,20110,1046,51,52.01392342
CRANBOURNE NORTH,2017,21218,964,50,45.43312282
CRANBOURNE NORTH,2018,22326,986,44,44.16375526
CRANBOURNE NORTH,2019,23434,964,50,41.13680976
CRANBOURNE NORTH,2020,24542,1278,52,52.0739956
CRANBOURNE SOUTH,2011,1684,37,14,21.97149644
CRANBOURNE SOUTH,2012,1682,53,21,31.51010702
CRANBOURNE SOUTH,2013,1680,56,17,33.33333333
CRANBOURNE SOUTH,2014,1678,51,21,30.39332539
CRANBOURNE SOUTH,2015,1676,56,25,33.41288783
CRANBOURNE SOUTH,2016,1674,53,17,31.66069295
CRANBOURNE SOUTH,2017,1672,47,19,28.11004785
CRANBOURNE SOUTH,2018,1670,58,21,34.73053892
CRANBOURNE SOUTH,2019,1668,74,24,44.36450839
CRANBOURNE SOUTH,2020,1666,95,24,57.02280912
CRANBOURNE WEST,2011,8743,449,35,51.35537001
CRANBOURNE WEST,2012,10001,441,38,44.09559044
CRANBOURNE WEST,2013,11259,435,35,38.63575806
CRANBOURNE WEST,2014,12518,543,45,43.37753635
CRANBOURNE WEST,2015,13776,772,44,56.03948897
CRANBOURNE WEST,2016,15035,890,41,59.19521117
CRANBOURNE WEST,2017,16294,681,42,41.79452559
CRANBOURNE WEST,2018,17553,680,42,38.73981656
CRANBOURNE WEST,2019,18812,806,49,42.84499256
CRANBOURNE WEST,2020,20071,940,48,46.83374022
CREMORNE,2011,1564,307,25,196.2915601
CREMORNE,2012,1654,260,25,157.1946796
CREMORNE,2013,1745,250,28,143.2664756
CREMORNE,2014,1836,260,32,141.6122004
CREMORNE,2015,1927,243,27,126.1027504
CREMORNE,2016,2018,260,35,128.8404361
CREMORNE,2017,2109,318,36,150.7823613
CREMORNE,2018,2200,311,32,141.3636364
CREMORNE,2019,2291,304,32,132.6931471
CREMORNE,2020,2382,277,34,116.2888329
CRESSY,2011,433,4,4,9.237875289
CRESSY,2012,,3,3,0
CRESSY,2013,,4,3,0
CRESSY,2014,,4,4,0
CRESSY,2015,,7,6,0
CRESSY,2016,175,14,10,80
CRESSY,2017,,12,9,0
CRESSY,2018,,15,12,0
CRESSY,2019,,15,13,0
CRESSY,2020,,13,9,0
CRESWICK,2011,2942,150,28,50.985724
CRESWICK,2012,2987,145,27,48.54368932
CRESWICK,2013,3033,142,26,46.81833168
CRESWICK,2014,3078,157,37,51.0071475
CRESWICK,2015,3124,188,34,60.17925736
CRESWICK,2016,3170,250,33,78.86435331
CRESWICK,2017,3216,201,36,62.5
CRESWICK,2018,3262,205,35,62.84488044
CRESWICK,2019,3308,222,32,67.11003628
CRESWICK,2020,3354,195,27,58.13953488
CRIB POINT,2011,2839,147,29,51.77879535
CRIB POINT,2012,2907,153,37,52.63157895
CRIB POINT,2013,2976,130,30,43.6827957
CRIB POINT,2014,3045,136,33,44.66338259
CRIB POINT,2015,3114,152,33,48.8118176
CRIB POINT,2016,3183,187,28,58.74960729
CRIB POINT,2017,3252,179,34,55.04305043
CRIB POINT,2018,3321,129,36,38.84372177
CRIB POINT,2019,3390,186,38,54.86725664
CRIB POINT,2020,3459,178,36,51.45995953
CROSSLEY,2011,351,6,5,17.09401709
CROSSLEY,2012,323,6,4,18.57585139
CROSSLEY,2013,296,6,6,20.27027027
CROSSLEY,2014,269,5,4,18.58736059
CROSSLEY,2015,242,5,3,20.66115702
CROSSLEY,2016,215,5,3,23.25581395
